prayer,create_date,answer_date,category,answer,display_count
Black tank and its sensor, 26-Jul-2021, 27-Jul-2021,none,,
Time and presence for walking exercise, 26-Jul-2021, 27-Jul-2021,none,,
Strengthening of my knee, 26-Jul-2021, 27-Jul-2021,none,,
Healing of my tooth surgery, 26-Jul-2021, 27-Jul-2021,none,,
Ram charging system and house batteries, 26-Jul-2021, 27-Jul-2021,none,,
Bar J Wranglers seating and parking overnight, 26-Jul-2021, 27-Jul-2021,none,,
Bar J Wranglers seating, 26-Jul-2021, 27-Jul-2021,none,,
"Pastor Ben's August devotional, it's receipt and preparation", 21-Jul-2021, 22-Jul-2021,none,,
How to support TRC during my travels., 20-Jul-2021, 21-Jul-2021,none,,
Healing and overcoming short of antibiotics, 20-Jul-2021, 21-Jul-2021,none,,
Facilitate contact with dermatologist, 20-Jul-2021, 21-Jul-2021,none,,
Facilitate contact with surgeon and CT scan, 20-Jul-2021, 21-Jul-2021,none,,
"Successful and easy dental surgery today, quick healing afterwards", 14-Jul-2021, 15-Jul-2021,none,,
"Van preparation, safety driving", 08-Jul-2021, 09-Jul-2021,none,,
"Doctor, sonogram, surgery, appointments, getting worse; Lord, help me", 08-Jul-2021, 09-Jul-2021,none,,
"Doctor, sonogram, surgery, appointments, getting worse; Lord, help me", 08-Jul-2021, 09-Jul-2021,none,,
"You Lord, facilitate my root canal to effectively repair the correct tooth", 07-Jul-2021, 08-Jul-2021,none,,
Help me in my work on Cohort 5, 07-Jul-2021, 08-Jul-2021,none,,
Guide me in wrapping up PB's devotion for July, 07-Jul-2021, 08-Jul-2021,none,,