,prayer,create_date,answer_date,category,up_vote
0,Hike today? ,29-Mar-2023,,me,
1,How can I have meaningful conversations with Karli while she visits? Especially while Karli is engaged with her friends. , 29-Mar-2023,,family ,
2,Getting metal gate screen for Kit on Friday. Vehicle arrangements? , 29-Mar-2023,,friends ,
3,Visit to Cutting Edge today?, 29-Mar-2023,,me,
4,"Oh Lord my God, I  beg You to save Ryan and Savanna and their marriage. Impart to them wisdom beyond their years to understand what is really important in their lives. Regardless, I trust You to work everything out for their benefit. In Jesus's Name I pray. ", 29-Mar-2023,,family ,
5,Robin is packing food boxes today , 29-Mar-2023,,robin,
6,Bring Booth and Nicki back safely from their California trip to visit their great grandchild , 28-Mar-2023,,brothers and sisters ,
7,Rick's golf game and his relationship with David , 28-Mar-2023,,brothers and sisters ,
8,"Healing for Nicole, Diane's niece, from her nose surgery ", 28-Mar-2023,,brothers and sisters ,
9,Pick up Nick on the way to Gaslight camp? , 27-Mar-2023,,family ,
10,Health and healing for Regina , 27-Mar-2023,,friends ,
11,Marriage of friends of Maggie and Jeremy , 27-Mar-2023,,brothers and sisters ,
12,Video Director Sunday , 27-Mar-2023,,casas,
13,MKS oil change Friday , 27-Mar-2023,,us,
14,Video Director rehearsal Thursday , 27-Mar-2023,,casas,
15,Robin's dentist appointment Thursday , 27-Mar-2023,,robin,
16,DWDM ladies Bible study Tuesday , 27-Mar-2023, 29-Mar-2023,robin,
17,"Call Frank on Tuesday, his birthday ", 27-Mar-2023,,friends ,
18,Where shall we go hiking Tuesday? , 27-Mar-2023, 29-Mar-2023,friends ,
19,Work in the hearts and minds of all who serve You today and those who attend the service today , 26-Mar-2023, 27-Mar-2023,casas,
20,Rest and relaxation today , 26-Mar-2023, 27-Mar-2023,me,
21,Getting ready for stage captain; interacting with the worship and tech team today , 26-Mar-2023, 27-Mar-2023,me,
22,Help us prepare for leading our Bible study discussion with our small group , 26-Mar-2023, 28-Mar-2023,us,
23,Rooster Cogburn's Ostrich Farm with Karli and her friends? Sounds like fun to me and Karli wants to be with her friends. , 26-Mar-2023,,family ,
24,Hike the Preserve today , 25-Mar-2023, 26-Mar-2023,me,
25,"Holy Spirit, grant wisdom about love for Ryan and Savanna so that they stay together choosing love, give them faith to move forward together as they understand God's faithfulness in loving them; but ultimately I trust You to work everything out for their and others' benefit and Your glory ", 25-Mar-2023,,family ,
26,Doctor for health screening? , 24-Mar-2023,,me,
27,Making Arizona state tax credit donation today , 24-Mar-2023, 25-Mar-2023,casas,
28,Making travel arrangements for Karli's visit today , 24-Mar-2023, 25-Mar-2023,family ,
29,"Denisha and her family, draw close to them in their time of grief and provide them with what they need ", 24-Mar-2023,,brothers and sisters ,
30,Change how Ryan and Savanna are thinking so that they will stay together , 22-Mar-2023,,family ,
31,Health and safe travels for Kirk and Bev , 22-Mar-2023, 28-Mar-2023,family ,
32,"Bring Kirk, Bev, Brad, Courtney, and their family in to relationship with You, Lord Jesus; show them the Truth of who You are ", 22-Mar-2023,,family ,
33,Heal and strengthen my knee that is sore from my hike yesterday , 22-Mar-2023, 26-Mar-2023,me,
34,Kim's shed project , 21-Mar-2023,,family ,
35,"Guide my thinking about object design for ""my prayers"" project ", 21-Mar-2023,,me,
36,Heal Kirk and Bev so that they can visit us, 21-Mar-2023, 22-Mar-2023,family ,
37,Thank You for the trails and wildflowers in the beautiful Tortolita Mountains and the opportunity to hike with my buddy Kit, 21-Mar-2023,,me,
38,"My sunburnt nose, cheeks, ankles; healing and protection from melanoma ", 21-Mar-2023, 24-Mar-2023,me,
39,Healing and energy for Pastor Ben, 20-Mar-2023,,brothers and sisters ,
40,Collaboration with Christopher this week? , 20-Mar-2023, 24-Mar-2023,friends ,
41,Bob and Linda birthday brunch on Sunday , 20-Mar-2023, 27-Mar-2023,friends ,
42,Stage Captain on Sunday , 20-Mar-2023, 27-Mar-2023,casas,
43,Window washing on Friday , 20-Mar-2023, 25-Mar-2023,us,
44,Women's Ministry game night for Robin on Friday , 20-Mar-2023, 25-Mar-2023,robin,
45,Hiking with Kit Tuesday or Thursday? Cancel my participation with Weaver's trip to the Stone House on Thursday?, 20-Mar-2023, 21-Mar-2023,me,
46,Stage Captain rehearsal Thursday. , 20-Mar-2023, 24-Mar-2023,me,
47,Casas Connection Wednesday. , 20-Mar-2023, 23-Mar-2023,us,
48,I pray for Your influence and support for Savanna as she goes through this divorce. , 20-Mar-2023,,family ,
49,"Help us, especially Robin, process our grief over Ryan's and Savanna's divorce. ", 20-Mar-2023,,robin,
50,DWDM Bible study for Robin Tuesday? , 20-Mar-2023, 22-Mar-2023,robin,
51,Dermatologist visit for me on Wednesday. Protect me from sunburn and melanoma. , 20-Mar-2023, 23-Mar-2023,me,
52,Safe travels for Su-Ann and closeness to her son and family. Reveal Yourself to her and her family. , 20-Mar-2023,,others ,
53,Protect Kirk and Bev from receiving and passing on the illness of their grandchildren. Restore good health for all in their family. May their visit happen as we all have planned. , 20-Mar-2023, 22-Mar-2023,family ,
54,"My heart goes out to Ryan! Oh Lord, comfort and strengthen him. Show Ryan the way through his grief and give him hope through the pain. Through it all, show Ryan who You are and draw him to You for Your glory. ", 20-Mar-2023,,family ,
55,Take care of everything necessary for everyone in my path today , 18-Mar-2023, 20-Mar-2023,others ,
56,Travel arrangements for Karli's visit , 18-Mar-2023, 25-Mar-2023,family ,
57,Make me sharp as I drive around the golf course so that people are protected , 18-Mar-2023, 20-Mar-2023,me,
58,Protection from the sun while I travel around on the golf cart , 18-Mar-2023, 20-Mar-2023,me,
59,"Healing in a miraculous way for Su-Ann Heng, so that she feels remarkably better today ", 18-Mar-2023, 20-Mar-2023,others ,
60,Giving LIV golf tickets away , 16-Mar-2023, 18-Mar-2023,friends ,
61,Thank you Lord for my connection and conversation with Karli , 16-Mar-2023, 18-Mar-2023,family ,
62,Help me learn what I need to know about the golf course so I can be effective in my role , 16-Mar-2023, 19-Mar-2023,me,
63,"Lord, I think that I have done my part for the next round of policy work, and I await responses. ", 16-Mar-2023, 23-Mar-2023,casas,
64,"Robin getting ready for our guests, how can I help her? ", 16-Mar-2023, 17-Mar-2023,robin,
65,Help me figure out how to create a list of panel objects , 16-Mar-2023, 22-Mar-2023,me,
66,"Karli seemed discouraged, lift her up and give her a desire for a vision for her life ", 15-Mar-2023,,family ,
67,Pastor Glenn and the Bible Project videos I sent him , 15-Mar-2023,,casas,
68,Read up on Jenkins today , 15-Mar-2023, 16-Mar-2023,me,
69,Boulder Pass loop and leg workout today? , 15-Mar-2023, 16-Mar-2023,me,
70,Hiking the golf cart path on the south course tomorrow , 15-Mar-2023, 18-Mar-2023,me,
71,Chores today for visit next week by Kirk and Bev, 15-Mar-2023, 23-Mar-2023,friends ,
72,"My conversation with Karli yesterday is taken as encouragement, follow up? ", 15-Mar-2023, 16-Mar-2023,family ,
73,LIV golf tickets for Friday and Saturday , 15-Mar-2023, 17-Mar-2023,friends ,
74,"Pastor Ben's blog's email feed is down, open ticket with mailchimp support ", 15-Mar-2023, 16-Mar-2023,brothers and sisters ,
75,Where to hike today? , 14-Mar-2023, 15-Mar-2023,friends ,
76,Work with Kris on his project? , 14-Mar-2023, 16-Mar-2023,friends ,
77,Clean up truck interior , 14-Mar-2023,,me,
78,Help me work with Pastor Glenn to reconcile old policy documents , 14-Mar-2023,,casas,
79,"Casas Council meeting tonight, give me the words and guide us in next steps ", 13-Mar-2023, 14-Mar-2023,casas,
80,Go visit artist Lauri K to purchase art work , 13-Mar-2023,,us,
81,"LIV golf volunteer work Friday, Saturday, and Sunday ", 13-Mar-2023, 18-Mar-2023,me,
82,Walter Trout and dinner with Kit and Alison Sunday evening , 13-Mar-2023, 20-Mar-2023,friends ,
83,Responsibility Immersion core module Wednesday? , 13-Mar-2023, 16-Mar-2023,me,
84,Dinner and hand and foot with Eliot and Kathy Thursday , 13-Mar-2023, 17-Mar-2023,friends ,
85,Hiking with Kit Tuesday , 13-Mar-2023, 15-Mar-2023,me,
86,Robin's work as food packer Wednesday , 13-Mar-2023, 17-Mar-2023,robin,
87,Robin's ICS badge pickup Tuesday , 13-Mar-2023, 15-Mar-2023,robin,
88,Robin's women's Bible study Tuesday , 13-Mar-2023, 15-Mar-2023,robin,
89,Robin's book club meeting today , 13-Mar-2023, 14-Mar-2023,robin,
90,Barb's daughter and the situation that she is struggling with , 13-Mar-2023, 27-Mar-2023,brothers and sisters ,
91,"Crystal's husband JR struggling with a health problem, Lord please heal and protect him; guide and direct Crystal as she begins her masters program ", 13-Mar-2023, 24-Mar-2023,brothers and sisters ,
92,Karli and Bible Project video about sin, 12-Mar-2023,,family ,
93,"Art fair at the Jewish Community Center, purchase art?", 12-Mar-2023, 13-Mar-2023,us,
94,"Heal Booth from his vertigo and help him feel better; protect him, Nicki, Dave, Cindy, Rick, Diane, Robin, and me from covid ", 12-Mar-2023, 18-Mar-2023,brothers and sisters ,
95,Dave and Cindy friends visit and traveling around Arizona , 11-Mar-2023,,brothers and sisters ,
96,Body and mind health for David while his parents are traveling; what can I do to help him? , 11-Mar-2023, 23-Mar-2023,brothers and sisters ,
97,Safe travels for Cindy and Dave for their DC trip , 11-Mar-2023, 23-Mar-2023,brothers and sisters ,
98,Safe travels for Diane for Colorado visit with her family , 11-Mar-2023, 28-Mar-2023,brothers and sisters ,
99,LIV golf volunteer assignment , 11-Mar-2023, 15-Mar-2023,me,
100,Wash the front porch? , 10-Mar-2023, 14-Mar-2023,me,
101,Wash the truck? , 10-Mar-2023, 14-Mar-2023,me,
102,Hike today? , 10-Mar-2023, 11-Mar-2023,me,
103,Collaboration with Christopher today , 10-Mar-2023, 12-Mar-2023,trc,
104,Picking up from the Container Store with Dave and Kathy Weaver tomorrow morning , 10-Mar-2023, 12-Mar-2023,friends ,
105,My little welding project , 09-Mar-2023,,me,
106,Summary of the points to make at Casas Council , 09-Mar-2023, 11-Mar-2023,casas,
107,Collaboration with Christopher , 09-Mar-2023, 10-Mar-2023,trc,
108,Hike this morning up to the bench , 09-Mar-2023, 10-Mar-2023,me,
109,"God, You have given me unique gifts for Your glory. Please provide opportunities where I can use what You have given for Your Kingdom. Make me generous with my time and resources. In Jesus’s name, amen.", 09-Mar-2023,,kingdom ,
110,Help me connect with Kim to discuss Gaslight Kids camp for Karli , 08-Mar-2023, 09-Mar-2023,family ,
111,Help me decide which Tech Team scheduling opportunities to accept , 08-Mar-2023, 12-Mar-2023,casas,
112,Guide my thoughts and actions as I process the material that Brittany has provided for Casas Council , 08-Mar-2023, 09-Mar-2023,casas,
113,Implementing the Model-View-Controller pattern and OO design with print(), 07-Mar-2023,,me,
114,Good Friday service? I have a schedule conflict , 07-Mar-2023, 08-Mar-2023,casas,
115,"Keep Angelo and Penny within the rails of Your will, continue to bless them, and keep them healthy ", 07-Mar-2023,,brothers and sisters ,
116,Expand the reach of the Bible Project , 07-Mar-2023,,brothers and sisters ,
117,Email to Myles asking for articles and bylaws , 06-Mar-2023, 08-Mar-2023,casas,
118,Bob's wife Carolyn struggling with chronic obstructive pulmonary disease, 06-Mar-2023,,brothers and sisters ,
119,Pick up LIV credentials Sunday afternoon , 06-Mar-2023, 13-Mar-2023,me,
120,Sunday services and Stage Captain , 06-Mar-2023, 13-Mar-2023,casas,
121,Robin's dermatologist appointment Friday , 06-Mar-2023, 11-Mar-2023,robin ,
122,Small group meeting on Friday , 06-Mar-2023, 11-Mar-2023,brothers and sisters ,
123,LIV orientation Friday evening , 06-Mar-2023, 11-Mar-2023,me,
124,Robin has a manicure Thursday , 06-Mar-2023, 10-Mar-2023,robin ,
125,Stage Captain rehearsal Thursday , 06-Mar-2023, 10-Mar-2023,casas,
126,Robin's lunch with Susan on Thursday , 06-Mar-2023, 10-Mar-2023,robin ,
127,Casas Connection Wednesday evening , 06-Mar-2023, 09-Mar-2023,casas,
128,Robin working at food bank early Wednesday morning , 06-Mar-2023, 09-Mar-2023,robin ,
129,Hiking with Kit Tuesday , 06-Mar-2023, 08-Mar-2023,me,
130,Robin's DWDM ladies's Bible study Tuesday , 06-Mar-2023, 08-Mar-2023,robin ,
131,Help me with camera shot selection and timing , 05-Mar-2023, 06-Mar-2023,casas,
132,Protect me from sexual temptation , 05-Mar-2023,,me,
133,"Completed hanging magnetic board and 6x6 art in the gathering room, thank You Lord, now on to hanging spinner ", 04-Mar-2023, 05-Mar-2023,us,
134,Parts for the camper van arrive and repairs completed quickly , 04-Mar-2023,,us,
135,I pray that Karli watches the Bible Project video about atonement and learns profound truth about Jesus and who she is in You , 04-Mar-2023,,family ,
136,Hike in the snowy desert this morning , 02-Mar-2023, 03-Feb-2023,me,
137,The last sling chair to complete , 02-Mar-2023, 09-Mar-2023,us,
138,Beautiful snow storm in the desert. Thank You Lord. , 02-Mar-2023, 03-Feb-2023,me,
139,"Praying that You, Lord Jesus, will draw Kimberly and Karli to Yourself today ", 02-Mar-2023,,family ,
140,Do a sling chair today? , 01-Mar-2023, 02-Mar-2023,me,
141,How do we follow up with policy committee work? , 01-Mar-2023, 14-Mar-2023,casas,
142,Kirk and Bev visit in March , 01-Mar-2023, 22-Mar-2023,family ,
143,Baraco with Bob and Linda Saturday night , 01-Mar-2023, 05-Mar-2023,friends ,
144,Trivia tonight with Bob and Linda , 01-Mar-2023, 02-Mar-2023,friends ,
145,"My email to Pastor Glenn is received, read, and productive ", 28-Feb-2023, 02-Mar-2023,casas,
146,Safety and warmth for Karli as she awaits Kim's return , 28-Feb-2023, 02-Mar-2023,family ,
147,"Lord Jesus, help me prepare the policy documents for submitting to the Council and to gather my thoughts about what to say at the Council meeting ", 28-Feb-2023, 01-Mar-2023,casas,
148,Preparation of tax documents for Vance , 27-Feb-2023, 28-Feb-2023,us,
149,Email for policy team approval , 27-Feb-2023, 28-Feb-2023,casas,
150,Python boot camp progress this week , 27-Feb-2023, 28-Mar-2023,me,
151,Robin working as packer for food pantry on Saturday , 27-Feb-2023, 05-Mar-2023,robin ,
152,Tucson Museum artist fair on Friday? , 27-Feb-2023, 04-Mar-2023,us,
153,"Video director on Sunday, Sunday services ", 27-Feb-2023, 06-Mar-2023,casas,
154,Video director rehearsal Thursday , 27-Feb-2023, 03-Feb-2023,casas,
155,"Hiking with Kit on Tuesday, where to hike? ", 27-Feb-2023, 01-Mar-2023,me,
156,Weedco yard spraying on Tuesday , 27-Feb-2023, 01-Mar-2023,me,
157,"Robin's and my anniversary, dinner? ", 27-Feb-2023, 02-Mar-2023,us,
158,Pokey LaFarge on Wednesday , 27-Feb-2023, 02-Mar-2023,me,
159,Trivia on Wednesday? , 27-Feb-2023, 01-Mar-2023,us,
160,Back of pantry door shelves project , 27-Feb-2023, 01-Mar-2023,us,
161,Fair weather for the rodeo today , 26-Feb-2023, 27-Feb-2023,brothers and sisters ,
162,Laurie and Karli for Gaslight camp? , 25-Feb-2023, 17-Mar-2023,family ,
163,TRC database maintenance , 25-Feb-2023, 01-Mar-2023,trc,
164,Fair weather for rodeo tomorrow , 25-Feb-2023, 27-Feb-2023,brothers and sisters ,
165,Trip to Lowe's for back of pantry door project , 25-Feb-2023, 26-Feb-2023,robin ,
166,Hike to the bench this morning , 25-Feb-2023, 26-Feb-2023,me,
167,Dave Moilanen's prostrate problem , 25-Feb-2023,,brothers and sisters ,
168,Email to policy committee asking for a thumbs up , 25-Feb-2023, 28-Feb-2023,casas,
169,"Todd Weber, guide him to do the best thing; protect him from the evil one ", 24-Feb-2023,,friends ,
170,"Day 18 of 100 Python boot camp, object oriented programming ", 24-Feb-2023, 25-Feb-2023,me,
171,Seth's preaching this Sunday , 23-Feb-2023, 27-Feb-2023,casas,
172,Safe travels to and from Mexico for Kim, 23-Feb-2023, 02-Mar-2023,family ,
173,No rain and comfort at the rodeo parade this morning , 23-Feb-2023, 24-Feb-2023,brothers and sisters ,
174,Perspective on Pastor Glenn's teaching about understanding the Bible , 23-Feb-2023,,brothers and sisters ,
175,Policy Committee approval and submission to the Council , 23-Feb-2023, 01-Mar-2023,casas,
176,Lucille Yuen and her house situation , 23-Feb-2023,,brothers and sisters ,
177,Volunteer for LIV golf? , 22-Feb-2023, 24-Feb-2023,me,
178,"Lord, please watch out for Karli and keep her safe while Kim is in Mexico. ", 22-Feb-2023, 02-Mar-2023,family ,
179,Cooking camp for Karli? Lord please work it all out. Thank you. , 22-Feb-2023,,family ,
180,Loving others project for today , 22-Feb-2023, 23-Feb-2023,brothers and sisters ,
181,Serving on the Tech Team in April? , 21-Feb-2023, 13-Mar-2023,casas,
182,Hike the Wild Mustang today? , 21-Feb-2023, 22-Feb-2023,me,
183,Josh's responses to my questions? , 21-Feb-2023, 24-Feb-2023,casas,
184,"I praise You for Karli sending me the Oceans video. How can I help Karli understand better who You are, Jesus? ", 21-Feb-2023,,family ,
185,Cookbook for Karli? , 20-Feb-2023,,family ,
186,Karli's new chromebook works well and she sets it up well , 20-Feb-2023, 22-Feb-2023,family ,
187,Hand and foot at Weaver's on Friday , 20-Feb-2023, 25-Feb-2023,friends ,
188,Lunch with Robin today , 20-Feb-2023, 21-Feb-2023,robin ,
189,Connect with Christopher and productive work this week , 20-Feb-2023, 25-Feb-2023,friends ,
190,Casas Connection on Wednesday , 20-Feb-2023, 23-Feb-2023,small group ,
191,Robin's women's ministry meeting Wednesday , 20-Feb-2023, 24-Feb-2023,robin ,
192,Small group meeting tonight about Heaven , 20-Feb-2023, 21-Feb-2023,small group ,
193,Guide me to show what is happening on the platform and give the watchers that sense; bless those watching and bring them to a closer relationship with You , 19-Feb-2023, 20-Feb-2023,casas,
194,Talk to Karli about Jesus during her next visit , 17-Feb-2023,,family ,
195,Voting for Casas Council new members and the process , 17-Feb-2023, 13-Mar-2023,casas,
196,Strength and stamina for Barb Robinson , 17-Feb-2023,,brothers and sisters ,
197,Healing for Nicole's concussion , 17-Feb-2023, 28-Mar-2023,brothers and sisters ,
198,Jael's uncle's heart and health problems , 17-Feb-2023,,brothers and sisters ,
199,Wrap up of ministry year and planning for next year's theme, 16-Feb-2023,,casas,
200,Easter services at Casas, 16-Feb-2023,,casas,
201,Student mission trip to Mexico, 16-Feb-2023, 27-Feb-2023,casas,
202,Talk to Karli about the different kinds of love , 16-Feb-2023,,family ,
203,Casas Church and Casas Christian School Articles of Incorporation and Bylaws , 15-Feb-2023, 09-Mar-2023,casas,
204,Jeep excursion with Dave Weaver , 15-Feb-2023, 17-Feb-2023,friends ,
205,Andy Stanley? , 15-Feb-2023, 16-Feb-2023,casas,
206,"Heal my right big toe, or help me find the best foot doctor in Tucson ", 15-Feb-2023,,me,
207,"Final draft, team approval, and presentation to Casas Council for approval ", 14-Feb-2023, 01-Mar-2023,casas,
208,What are the next steps for CCS or Casas Church policy? , 14-Feb-2023, 14-Mar-2023,casas,
209,"Lord, please work out everything necessary for Kim's septic system ", 13-Feb-2023, 22-Feb-2023,family ,
210,Video Director rehearsal and Sunday services this week , 12-Feb-2023, 20-Feb-2023,casas,
211,Robin's ICS orientation on  Thursday , 12-Feb-2023, 17-Feb-2023,robin ,
212,Robin's women's ministry planning meeting on Wednesday , 12-Feb-2023, 16-Feb-2023,casas,
213,Robin's book club meeting on Monday , 12-Feb-2023, 14-Feb-2023,robin ,
214,Portillo's with Dave and Kathy Weaver on Tuesday , 12-Feb-2023, 15-Feb-2023,us,
215,March devotional for Pastor Ben , 12-Feb-2023, 01-Mar-2023,brothers and sisters ,
216,"Python boot camp: time, mental acuity, and memory ", 11-Feb-2023, 24-Feb-2023,me,
217,Smooth delivery of the correct product for Karli's Chromebook , 10-Feb-2023, 20-Feb-2023,family ,
218,Collaboration with Christopher this morning , 10-Feb-2023, 11-Feb-2023,trc,
219,Guide me to serve others who are less fortunate than me , 10-Feb-2023,,me,
220,Karli's new chromebook arrives in a timely manner and works well , 10-Feb-2023, 20-Feb-2023,family ,
221,"Lord, help me deal appropriately with my judgemental thoughts ", 10-Feb-2023,,me,
222,Stacie and her husband and their visit to our small group , 10-Feb-2023, 09-Mar-2023,small group ,
223,Safety and productivity for Ryan and Becky while traveling in Turkey , 09-Feb-2023, 17-Feb-2023,casas,
224,TCSS rescue at Winkelman? , 09-Feb-2023, 25-Feb-2023,me,
225,Strategic landscape committee and the required training? , 08-Feb-2023, 25-Feb-2023,me,
226,Electric service for Kim and her washer and dryer and storage shed , 08-Feb-2023,,family ,
227,What tools does Kim need that we can provide? , 08-Feb-2023,,family ,
228,Visit Kim upon completion of camper van repairs? , 08-Feb-2023,,family ,
229,Thank You for the red flowering prickly pear cuttings , 08-Feb-2023,,me,
230,What do I do with the additional information from CCS? How do I account for it and improve the policy document?, 08-Feb-2023, 12-Feb-2023,casas,
231,"Lord, give us direction and help us get to end of job in our policy meeting on Monday ", 08-Feb-2023, 14-Feb-2023,casas,
232,LIV golf at the Gallery? Volunteer? , 07-Feb-2023, 22-Feb-2023,me,
233,"Protect and bless Your followers in the Congo, change the hearts of the Muslims that persecute them ", 06-Feb-2023,,brothers and sisters ,
